,word A,word B,loss,total mi
121,NNMP1-----A----,NNIS1-----A----,0.014029013168806807,1.6271594748377423
122,PSXXXXP3-------,P7-X4----------,0.016124943450421134,1.6131304616689357
123,VB-S---3F-AA---,VpQW---XR-AA---,0.016378692129115958,1.5970055182185152
124,AANS1----1A----,NNIP1-----A----,0.017474812492375973,1.5806268260893988
125,Dg-------1A----,VB-P---3P-NA---,0.01737022084743611,1.563152013597024
126,NNNS3-----A----,NNNP2-----A----,0.01752455000847903,1.5457817927495865
127,RR--3----------,AAIS4----1A----,0.018113522856668163,1.528257242741108
128,X@-------------,C=-------------,0.01823532545312838,1.5101437198844396
129,VB-P---3P-AA---,VB-S---3F-AA---,0.020750437554436896,1.4919083944313112
130,NNNS7-----A----,NNFP6-----A----,0.02210486894299573,1.4711579568768745
131,NNIS2-----A----,NNFS2-----A----,0.023078037291867557,1.44905308793388
132,AAIS2----1A----,AAFS2----1A----,0.009723338122834838,1.4259750506420115
133,RR--4----------,Vf--------A----,0.023139399423103023,1.4162517125191771
134,NNNS3-----A----,NNMP4-----A----,0.023518421202383483,1.393112313096074
135,NNMS1-----A----,X@-------------,0.026232658863243833,1.369593891893689
136,PSXXXXP3-------,Dg-------1A----,0.025986834081974563,1.343361233030444
137,NNNS1-----A----,NNMP1-----A----,0.026748930777518755,1.3173743989484692
138,VpTP---XR-AA--1,AANS1----1A----,0.010679899976787676,1.2906254681709504
139,RR--3----------,RR--4----------,0.02700701329560329,1.2799455681941636
140,AAIS2----1A----,RR--2----------,0.027618200215184893,1.2529385548985608
141,NNFP4-----A----,NNNS3-----A----,0.02898174369441436,1.225320354683377
142,NNIS2-----A----,PDZS2----------,0.029743551844260183,1.196338610988963
143,J^-------------,Z:-------------,0.030625850244138067,1.1665950591447023
144,PSXXXXP3-------,"J,-------------",0.031590134717157325,1.1359692089005633
145,NNMS1-----A----,NNFXX-----A----,0.0325760907345676,1.1043790741834059
146,NNFS6-----A----,AAFS6----1A----,0.03514169221872608,1.071802983448837
147,NNNS7-----A----,RR--7----------,0.03760927636468263,1.0366612912301112
148,VpTP---XR-AA--1,NNNS1-----A----,0.04599969097928171,0.9990520148654285
149,VpTP---XR-AA--1,PSXXXXP3-------,0.04273769183631203,0.9530523238861474
150,NNFP4-----A----,RR--3----------,0.05437097914798906,0.9103146320498341
151,NNMS1-----A----,NNIS2-----A----,0.053411706400817056,0.8559436529018436
152,NNMS1-----A----,AAIS2----1A----,0.05427550974708577,0.8025319465010274
153,VpTP---XR-AA--1,VB-P---3P-AA---,0.0573666562444925,0.748256436753942
154,NNNS7-----A----,NNMS1-----A----,0.05954954989626942,0.690889780509451
155,VpTP---XR-AA--1,NNFP4-----A----,0.09720382428553924,0.6313402306131803
156,VpTP---XR-AA--1,J^-------------,0.11111695590657573,0.5341364063276394
157,RV--6----------,NNFS6-----A----,0.11359663413584165,0.4230194504210634
158,RV--6----------,NNNS7-----A----,0.10693886500579042,0.30942281628522256
159,VpTP---XR-AA--1,RV--6----------,0.14755974316210785,0.2024839512794342
