word,context,pmi
entirely,destitute,10.72081167774401
middle,portion,10.72081167774401
whose,judgment,10.72081167774401
aboriginal,stock,10.72081167774401
metamorphosed,vertebrae,10.72081167774401
entirely,agree,10.72081167774401
secondary,sexual,10.72081167774401
representing,vertebrae,10.72081167774401
consecutive,formations,10.698501516018922
letters,standing,10.694816469211066
apparent,exceptions,10.694816469211066
lowest,Silurian,10.694816469211066
similarly,coloured,10.694816469211066
briefly,discussed,10.694816469211066
thick,enough,10.669281377103928
ten,thousand,10.659821047854862
am,inclined,10.65417448471372
experienced,naturalist,10.644190396141097
Glacial,epoch,10.635922780157497
monstrosities,resembling,10.631806671685265
grass,feeding,10.631806671685265
limited,quality,10.631806671685265
nutriment,laid,10.631806671685265
temperate,zones,10.631806671685265
geology,plainly,10.631806671685265
anterior,antennae,10.631806671685265
full,meaning,10.631806671685265
double,shoulder,10.631806671685265
succeeding,faunas,10.607353627960727
independently,created,10.602059328291213
hind,legs,10.600097811957927
later,tertiary,10.595280795660152
imaginary,humble,10.595280795660152
immediately,seemed,10.595280795660152
clear,distinction,10.595280795660152
nascent,breathing,10.595280795660152
barren,heath,10.595280795660152
essential,distinction,10.595280795660152
twelve,hours,10.595280795660152
whence,otherwise,10.595280795660152
dried,floated,10.595280795660152
hermaphrodite,cirripedes,10.595280795660152
shallow,bottom,10.595280795660152
reproductive,system,10.594422304090106
After,fourteen,10.583308153994075
frequent,occurrence,10.583308153994075
eastern,Pacific,10.583308153994075
middle,horizontal,10.583308153994075
came,across,10.583308153994075
excellent,judgment,10.583308153994075
mutual,affinities,10.583308153994075
unequal,distances,10.583308153994075
tells,us,10.58033045419418
opposite,sides,10.55965688592943
above,specified,10.554638811162805
wide,spaces,10.551858515369023
yellow,ants,10.547975080881795
horizontal,line,10.547975080881795
surrounding,lowlands,10.528713178721162
limited,faunas,10.524891467768754
utterly,inexplicable,10.524891467768754
blind,cave,10.524891467768754
utmost,care,10.524891467768754
break,down,10.524891467768754
breathing,branchiae,10.524891467768754
reasons,assigned,10.524891467768754
yield,fewer,10.51917781657436
open,ocean,10.517278283658879
million,years,10.504991910331048
Cambrian,strata,10.50217139126867
lowest,bed,10.50217139126867
continually,fall,10.50217139126867
fourth,chapter,10.50217139126867
average,duration,10.485363103582115
dozen,aphides,10.479803578240215
Having,alluded,10.479803578240215
main,nerves,10.479803578240215
oldest,fossiliferous,10.479803578240215
inferior,quality,10.479803578240215
grass,closer,10.479803578240215
instinctive,quality,10.479803578240215
highly,competent,10.475055263342052
plainly,tells,10.474265394698785
nerve,sensitive,10.457777271910215
ocean,currents,10.457777271910215
rising,movement,10.457777271910215
flat,plates,10.457777271910215
toes,webbed,10.457777271910215
author,takes,10.457777271910215
plain,service,10.457777271910215
excellent,observers,10.457777271910215
pattern,displayed,10.457777271910215
